,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
14107,14108,真義,精熟,第7級,,3,0,"[['真義', ['29998']]]",ㄓㄣ ㄧˋ,zhēnyì,False,
14134,14135,正題,精熟,第7級,,3,0,[],ㄓㄥˋ ㄊㄧˊ,zhèngtí,False,
14136,14137,正途,精熟,第7級,,3,1,"[['正途', ['30364']]]",ㄓㄥˋ ㄊㄨˊ,zhèngtú,False,
14163,14164,智慧型,精熟,第7級,,7,7,[],ㄓˋ ㄏㄨㄟˋ ㄒㄧㄥˊ,zhìhuìxíng,False,
14182,14183,志士,精熟,第7級,,4,1,"[['志士', ['29305']]]",ㄓˋ ㄕˋ,zhìshì,False,
14186,14187,直挺挺,精熟,第7級,,3,1,"[['直挺挺', ['28996']]]",ㄓˊ ㄊㄧㄥˇ ㄊㄧㄥˇ,zhítǐngtǐng,False,
14193,14194,執行不力,精熟,第7級,,0,0,[],ㄓˊ ㄒㄧㄥˊㄅㄨˊ ㄌㄧˋ,zhíxíngbúlì,False,
14196,14197,志業,精熟,第7級,,4,22,"[['志業', ['29307']]]",ㄓˋ ㄧㄝˋ,zhìyè,False,
14205,14206,直指,精熟,第7級,,4,1,[],ㄓˊ ㄓˇ,zhízhǐ,False,
14209,14210,隻字片語,精熟,第7級,,0,0,"[['隻字片語', ['28979']]]",ㄓ ㄗˋ ㄆㄧㄢˋ ㄩˇ,zhīzìpiànyǔ,False,
14215,14216,終歸,精熟,第7級,,2,1,"[['終歸', ['31235']]]",ㄓㄨㄥ ㄍㄨㄟ,zhōngguī,False,
14225,14226,終其一生,精熟,第7級,,6,3,[],ㄓㄨㄥ ㄑㄧˊ ㄧˋ ㄕㄥ,zhōngqíyìshēng,False,
14229,14230,眾所皆知,精熟,第7級,,2,2,[],ㄓㄨㄥˋ ㄙㄨㄛˇ ㄐㄧㄝ ㄓ,zhòngsuǒjiēzhī,False,
14241,14242,終至,精熟,第7級,,3,1,[],ㄓㄨㄥ ㄓˋ,zhōngzhì,False,
14261,14262,註明,精熟,第7級,,5,1,"[['註明', ['30708']]]",ㄓㄨˋ ㄇㄧㄥˊ,zhùmíng,False,
14270,14271,主政,精熟,第7級,,4,2,[],ㄓㄨˇ ㄓㄥˋ,zhǔzhèng,False,
14275,14276,專精,精熟,第7級,,5,3,"[['專精', ['30917']]]",ㄓㄨㄢ ㄐㄧㄥ,zhuānjīng,False,
14286,14287,專文,精熟,第7級,,3,0,[],ㄓㄨㄢ ㄨㄣˊ,zhuānwén,False,
14303,14304,追根究柢,精熟,第7級,,5,1,"[['追根究柢', ['30852']]]",ㄓㄨㄟ ㄍㄣ ㄐㄧㄡˋ ㄉㄧˇ,zhuīgēnjiùdǐ,False,
14321,14322,逐字,精熟,第7級,,2,1,[],ㄓㄨˊㄗˋ,zhúzì,False,
14336,14337,自憐,精熟,第7級,,4,0,"[['自憐', ['36808']]]",ㄗˋ ㄌㄧㄢˊ,zìlián,False,
14351,14352,自許,精熟,第7級,,2,2,"[['自許', ['36849']]]",ㄗˋ ㄒㄩˇ,zìxǔ,False,
14354,14355,自已,精熟,第7級,,5,2,[],ㄗˋ ㄧˇ,zìyǐ,False,
14374,14375,走下坡,精熟,第7級,,4,2,"[['走下坡', ['37231']]]",ㄗㄡˇ ㄒㄧㄚˋ ㄆㄛ,zǒuxiàpō,False,
14377,14378,奏章,精熟,第7級,,8,0,[],ㄗㄡˋ ㄓㄤ,zòuzhāng,False,
14413,14414,坐視,精熟,第7級,,3,1,"[['坐視', ['37476']]]",ㄗㄨㄛˋ ㄕˋ,zuòshì,False,
14414,14415,作詩,精熟,第7級,,4,0,[],ㄗㄨㄛˋ ㄕ,zuòshī,False,
