序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音
10268,定罪,精熟,第7級,,4,0,"[['定罪', ['9153']]]",ㄉㄧㄥˋ ㄗㄨㄟˋ,dìngzuì
10269,丟失,精熟,第7級,,3,0,[],ㄉㄧㄡ ㄕ,diūshī
10270,動筆,精熟,第7級,,4,1,"[['動筆', ['9850']]]",ㄉㄨㄥˋ ㄅㄧˇ,dòngbǐ
10271,洞察,精熟,第7級,,5,1,"[['洞察', ['9832']]]",ㄉㄨㄥˋ ㄔㄚˊ,dòngchá
10272,東倒西歪,精熟,第7級,,3,2,"[['東倒西歪', ['9763']]]",ㄉㄨㄥ ㄉㄠˇ ㄒㄧ ㄨㄞ,dōngdǎoxīwāi
10273,動工,精熟,第7級,,3,4,"[['動工', ['9868']]]",ㄉㄨㄥˋ ㄍㄨㄥ,dònggōng
10274,恫嚇,精熟,第7級,,3,2,"[['恫嚇', ['9837']]]",ㄉㄨㄥˋ ㄏㄜˋ,dònghè
10275,凍結,精熟,第7級,,5,5,"[['凍結', ['9844']]]",ㄉㄨㄥˋ ㄐㄧㄝˊ,dòngjié
10276,棟樑,精熟,第7級,,1,0,[],ㄉㄨㄥˋ ㄌㄧㄤˊ,dòngliáng
10277,動脈,精熟,第7級,,6,6,"[['動脈', ['9852']]]",ㄉㄨㄥˋ ㄇㄞˋ,dòngmài
10278,動能,精熟,第7級,,8,2,"[['動能', ['9862']]]",ㄉㄨㄥˋ ㄋㄥˊ,dòngnéng
10279,動怒,精熟,第7級,,3,0,"[['動怒', ['9863']]]",ㄉㄨㄥˋ ㄋㄨˋ,dòngnù
10280,動容,精熟,第7級,,4,4,"[['動容', ['9889']]]",ㄉㄨㄥˋ ㄖㄨㄥˊ,dòngróng
10281,東山再起,精熟,第7級,,3,1,"[['東山再起', ['9799']]]",ㄉㄨㄥ ㄕㄢ ㄗㄞˋ ㄑㄧˇ,dōngshānzàiqǐ
10282,動彈不得,精熟,第7級,,6,3,"[['動彈不得', ['9857']]]",ㄉㄨㄥˋ ㄊㄢ ˊㄅㄨˋ ㄉㄜˊ,dòngtánbùdé
10283,洞悉,精熟,第7級,,5,1,"[['洞悉', ['9826']]]",ㄉㄨㄥˋ ㄒㄧ,dòngxī
10284,動輒,精熟,第7級,,6,4,[],ㄉㄨㄥˋ ㄓㄜˊ,dòngzhé
10285,斗,精熟,第7級,,9,7,"[['斗', ['7786']]]",ㄉㄡˇ,dǒu
10286,兜,精熟,第7級,,5,4,"[['兜', ['7781']]]",ㄉㄡ,dōu
10287,斗大,精熟,第7級,,3,2,"[['斗大', ['7789']]]",ㄉㄡˇ ㄉㄚˋ,dǒudà
10288,兜風,精熟,第7級,,3,1,"[['兜風', ['7782']]]",ㄉㄡ ㄈㄥ,dōufēng
10289,逗留,精熟,第7級,,6,2,"[['逗留', ['7826']]]",ㄉㄡˋ ㄌㄧㄡˊ,dòuliú
10290,陡坡,精熟,第7級,,3,1,"[['陡坡', ['7801']]]",ㄉㄡˇ ㄆㄛ,dǒupō
10291,陡峭,精熟,第7級,,6,6,"[['陡峭', ['7804']]]",ㄉㄡˇ ㄑㄧㄠˋ,dǒuqiào
10292,逗趣,精熟,第7級,,3,2,"[['逗趣', ['7828']]]",ㄉㄡˋ ㄑㄩˋ,dòuqù
10293,鬥士,精熟,第7級,,4,7,"[['鬥士', ['7850']]]",ㄉㄡˋ ㄕˋ,dòushì
10294,兜售,精熟,第7級,,3,3,"[['兜售', ['7785']]]",ㄉㄡ ㄕㄡˋ,dōushòu
10295,鬥志,精熟,第7級,,7,3,"[['鬥志', ['7845']]]",ㄉㄡˋ ㄓˋ,dòuzhì
